helpful_votes,ranking,total_review
44,,2
35,,10
70,,12
43,,36
47,,4
32,,28
38,,9
34,,24
22,,17
26,,4
331,,65
18,,22
26,,17
14,,3
32,,9
"2,354",,216
32,,16
23,,8
31,,13
12,,3
15,,9
37,,19
23,,21
16,,25
10,,1
39,,73
7,,7
17,,1
197,,50
12,,5
235,,66
6,,16
9,,5
41,,35
8,,8
5,,1
5,,13
25,,31
6,,9
8,,14
5,,2
5,,2
5,,1
32,,65
11,,6
6,,2
46,,33
3,,7
28,,22
13,,7
4,,3
308,,73
3,,1
6,,8
2,,2
3,,2
23,,52
14,,16
4,,1
5,,1
17,,39
3,,14
4,,1
8,,3
8,,4
8,,15
10,,18
31,,50
3,,1
6,,6
5,,5
35,,75
10,,10
66,,24
7,,18
11,,26
5,,1
4,,1
2,,2
2,,2
6,,17
9,,67
1,,2
18,,28
1,,1
3,,10
1,,1
3,,1
36,,37
426,,12
4,,7
21,,26
5,,11
52,,61
59,,35
3,,2
1,,13
2,,3
4,,1
0,,11
20,,26
151,,170
43,,29
3,,10
1,,6
1,,1
9,,83
48,,36
1,,8
146,,23
1,,1
54,,31
1,,2
0,,2
8,,11
3,,2
2,,13
4,,18
4,,23
16,,12
5,,4
2,,3
5,,10
3,,22
1,,2
11,,3
70,,54
76,,83
2,,3
2,,1
1,,3
3,,14
1,,1
2,,6
32,,21
43,,34
2,,6
3,,7
1,,1
15,,15
8,,6
4,,1
1,,3
1,,4
2,,5
4,,20
4,,4
17,,18
0,,1
5,,6
6,,14
6,,6
146,,173
4,,2
2,,20
9,,20
39,,36
0,,2
97,,7
0,,4
5,,19
9,,10
1,,7
6,,26
1,,3
3,,7
13,,12
8,,37
4,,8
32,,30
2,,1
5,,26
85,,34
4,,11
21,,109
2,,1
2,,11
3,,12
2,,2
4,,24
18,,23
3,,1
10,,40
2,,3
32,,64
1,,4
4,,6
1,,11
3,,4
1,,10
23,,19
0,,1
2,,8
8,,35
4,,2
1,,2
2,,2
1,,3
9,,15
34,,14
1,,8
1,,1
9,,52
1,,13
0,,2
39,,161
1,,6
3,,9
2,,1
6,,24
8,,5
2,,4
1,,2
2,,7
0,,1
23,,20
12,,15
0,,1
2,,8
3,,10
35,,39
1,,1
30,,57
18,,31
1,,5
1,,3
8,,23
36,,33
1,,1
18,,7
7,,17
54,,37
0,,1
5,,6
2,,32
1,,39
1,,2
73,,65
0,,3
64,,10
2,,9
23,,19
6,,5
11,,11
0,,1
6,,7
0,,12
4,,30
9,,13
3,,1
2,,4
2,,1
3,,6
8,,67
10,,72
1,,2
8,,19
2,,8
4,,21
2,,4
20,,20
10,,18
2,,7
21,,79
30,,35
21,,10
1,,14
1,,4
14,,38
0,,3
0,,14
0,,9
7,,8
21,,14
18,,35
3,,8
